"tweet","sentiment","id"
"Severe Thunderstorm Warning for Greer and Harmon County in OK until 2:00pm CDT. #okwx",2,NA
"I was just outside pushing rocks... HOT AF! &gt;=|",1,NA
"#WEATHER:  6:53 pm : 82.0F. Feels F. 29.62% Humidity. 23.0MPH Southeast Wind.",2,NA
"What up everybody. A sunny day n Detroit weather good enuff for some BBQ. N my Lakers need to get serious n do some work.",3,NA
"Monday's record high, 98. Today is forecast to be exactly half of that. Weather #FAIL",1,NA
"Busy in Laramie WY today w/ UW graduation, prom, funeral. But the weather looks to be nice for a change.",3,NA
"@mention It's been overcast, rainy and in the lower 50's for a week and half--no relief in sight until the end of next week. #LAMEWEATHER",1,NA
"@mention Work.. same ole same ole.. but at least sun is out even if it is chilly. How's it going for you?",3,NA
"Gonna have to disagree with about everyone and say... I hate hot weather #sohot",1,NA
"Hanging with my niece outside in this beautiful NorCal weather! Last day here. Sad news.",3,NA
"Gud nite on south street. But now im feeln lonely ona rainy day :(",1,NA
"LE: Fair and Windy and 72 F at Laramie/Gen. Brees, WY Winds are from the West at 27.6 gusting to 39.1 MPH (24 gusting t {link}",2,NA
"Lauderdale-Dyer County,TN-88 degrees, barometric pressure is falling,sun is out.",2,NA
"Finally some summer weather in GA.",3,NA
"Running errands on a crazy, gloomy Vegas weather.  {link}/",1,NA
"The weather is so nice it is practically chilly in the hospitality tent. I could use some hot, not iced, coffee (in May!).",3,NA
"RT @mention: {link} @mention and @mention both report Kiowa County storm becoming outflow domina ...",2,NA
"NEW ZEALAND UPDATE LIVE WEATHER {link} -",2,NA
"#WEATHER: 9:53 pm C: 82.0F. Feels F. 29.81% Humidity. 15.0MPH South Wind.",2,NA
"Memphis and Mud Island record flood. New video and pictures: By Tony Pann The weather focus continues along the ... {link}",2,NA
"Ready to get home. It's hot out here",1,NA
"@mention  Was near perfect weather wise :)",3,NA
"#WEATHER:  2:53 am : 61.0F. Feels F. 30.05% Humidity. 3.5MPH Southeast Wind.",2,NA
"knowing that tomorrow brings a deluge of rain, i am happy to see the return of sunshine, blue sky and wispy clouds. #eyestothesky",3,NA
"@mention Have a good one Kristen.  Enjoy the nice weather. :)",3,NA
"Up early, letting my wife get some well deserved rest. getting ready 4 Mother's day fun. Grill ready, good weather, cocktails. let's go #fb",3,NA
"Another gorgeous day in dirty Jersey, 75 and sunny, 5th straight day!! But chance of rain Saturday-Wednesday, gotta enjoy this!!",3,NA
"Significant Weather until 03:45 PM Friday issued for Knox, Loudon, North Sevier & NW Blount Counties. {link}",2,NA
"Sunshine makes me happy!",3,NA
"Overcast and 57 F at Butler County Automatic Weather Observing / Report, PA {link}",2,NA
"@mention aww, thank you!! yay for warm weather & dresses! she is so much fun! :)",3,NA
"#WEATHER: 9:53 pm C: 81.0F. Feels F. 29.76% Humidity. 10.4MPH South Wind.",2,NA
"@mention severe thunderstorm.....its suppose to be heading our way later",2,NA
"@mention I would take that too! I love a good storm.",3,NA
"honestly, the weather today is perfect.",3,NA
"Knoxville and valley locations have been dropped from the Severe T-Storm WATCH. It remains from the Mtns. into NC until  7pm.",2,NA
"Farmington Forecast for Tonight: Partly cloudy. Windy. Lows in the upper 30s to mid 40s. West winds 20 to 30 mph...  {link}",2,NA
"Busy week ahead. Hope you've all enjoyed the lovely weather. Looks like another gorgeous day.",3,NA
"April showers bring May THIS WEATHER IS BULLSHITTTTT!!",1,NA
"Overnight lane closures postponed this week on US 202 between Chesterbrook & Rt. 401 in Chester Co. due to inclement weather forecast.",2,NA
"It's hot a hell out WTF is guy wearing high socks and high tops for?!? #FAIL",1,NA
"#SantaFe Forecast for Today: Partly cloudy. Windy. Highs in the upper 60s to mid 70s. West winds 20 to 30 mph in...  {link}",2,NA
"This weather is ridiculous! I'm freezing and wearing my winter coat!! Really!?!?",1,NA
"severe t-storm warnings are extening all the way down from just south of El Reno to Cyril - hail and damaging... {link}",2,NA
"#WEATHER:  8:53 am : 51.0F. Feels 46F. 29.91% Humidity. 13.8MPH North Wind.",2,NA
"I almost forgot what spring felt like. Last time I checked it was those 6 hours between freezing driving rain & 90 degrees / 235% humidity.",1,NA
"I LOVE THIS WEATHER IM GOING TANNING RIGHT NOW",3,NA
"Its fucking freezing in little falls mn",1,NA
"Love rainy spring days :) but the rain better stay away this weekend",3,NA
"@mention The weather has been beautiful since I got here. Heading to Austin tomorrow. :)",3,NA
"Perfect beach weather, and perfect get drunk weather.",3,NA
"Haha dad is not home so I can turn on my air conditioner. Fucking hot weather. Fucking cold weather too. Fuck the weather in general.",1,NA
"RT @mention: Report from USAC COO @mention at #ATOC: Snow in the parking lot. Looks like chilly day in the saddle.  {link} ...",2,NA
"Just finished my last final, got free pizza and it's sunny out #winning #donezo",3,NA
"The weather turns quieter tonight into Monday. Details in Eric Davis' forecast discussion. {link}",2,NA
"Awesome. RT @mention HA! the rapture report from @mention RT @mention: The weather this weekend is going to suck!!! Photo: {link}",1,NA
"RT @mention: Hey everybody....it's FRIDAY...good morning. A gorgeous weather day today. Sunshine 60s and lower 70s. Pollen=HIGH",3,NA
"englands weather is fucked up :s",1,NA
"It's so hot outside I wish I could wear shorts to work #sweatingswag",1,NA
"46 is not an appropriate high temp, but that's it for today. Back to warm clothes.",1,NA
"Skycam is showing us miles of gray skies...  brr!  What happened to our warm, sunny springtime?",1,NA
"RT @mention: Thunderstorms are extremely calming",3,NA
"Wtf is wrong w the weather............ So bloody warm that I can't even slp oh my tian *faints*",1,NA
"Heading out on a 4 mile run in this beautiful weather - Getting stronger everyday.",3,NA
"Thinking about what to have for dinner? Well, the weather is prefect, try cooing burgers on the Bbq and pairing it with a big, juicy red",3,NA
"Great weather, Terrible gas prices.",3,NA
"It's so cold out here.",1,NA
"I just realized it's like 60 degrees in MAY. wtf? #TuscaloosaTweet",1,NA
"Severe Thunderstorm Warning issued May 22 at 10:55PM CDT expiring May 22 at 11:30PM CDT by NWS Tulsa... {link}",2,NA
"Walked 1.49 miles in 32 mins and felt great. Man, awesome weather today! {link}",3,NA
"@mention They're not out yet AND we don't have the threat of snow right now.",2,NA
"RT @mention: Its only 62 degrees,WOW &lt;------ the world coming to a END",1,NA
"Partly Cloudy and Windy and 60 F at Ely/Yelland Field, NV Winds are from the South at 34.5 gusting to 47.2 MPH (30 gust {link}",2,NA
"87 degrees... well done sioux falls,sd well done :)",3,NA
"helenair.com/news: Soggy springtime weather: Too much water | Rain expected to end today; outflow from Can... {link}",1,NA
"Omg I'm about 2 breakdown.....not liking this weather",1,NA
"I uploaded a @mention video {link} Severe Weather Starts Up Again",2,NA
"Its too hot outside",1,NA
"well going outside in miwaukee... sunny once again... going to practice....  yup",2,NA
"#United States #Wisconsin #Wisconsin Dells #Y-O RanchSevere Thunderstorm Warning - WISH",2,NA
"RT @mention: Dear weather: It's May. What the fuck is your problem.",1,NA
"Heading to 29 Palms and Joshua Tree NP for a few days of (sunny) rock climbing and fun.",3,NA
"@mention Cold weather sucks! I'll try my best to send you some sun & warmer weather your way.",1,NA
"How damn depressing is this? #weather  {link}",1,NA
"#dontgetstarted on this damn heatwave, it's hotter than Africa up in here, & I've been to the equator, so I know, #africanparents hate A/C",1,NA
"It's 10:20pm and I'm outside and not freezing! Summer is finally creeping in .  .  .",3,NA
"Its so cold outside...",1,NA
"@mention Hopefully, there won't be any major storms, but we will probably have some wacky weather tomorrow.  #weathergeek",2,NA
"RT @mention: Severe Thunderstorm Warning for East Baton Rouge, East Feliciana, Livingston and St. Helena Parish in LA until 9:00pm CD ...",2,NA
"driving to a mother's day cookout on sunny country roads, rocking out to the zac brown band pass the jar cd. yep...perfect sunday.",3,NA
"RT @mention: Hanalei School closed today because of weather {link}",2,NA
"#WEATHER:  6:55 pm : 82.0F. Feels F. 29.99% Humidity. 6.9MPH North Wind.",2,NA
"Stupid clouds are ruining this sunshine #smh",1,NA
"@mention felt ill this weekend too.  Damn this weather!",1,NA
